VALUE,HEIGHT,LEFT,RIGHT,AGE,NATIONALITY,GOAL,ASSIST,MINUTES,SCORINGABILITY,PASS,TACKLE,DRIBBLE,SAVE,CLEANSHEET
40000000,170,1,0,30,0,0.08,0.21,2187,0.8999999999999999,87.1,14,52.6,0.0,0.0
18000000,180,1,0,21,0,0.0,0.0,172,0.0,91.7,1,66.7,0.0,0.0
4000000,188,0,1,20,1,0.0,0.0,238,-0.2,94.7,2,100.0,0.0,0.0
9000000,177,0,1,28,1,0.22,0.0,407,-1.7999999999999998,77.3,1,62.5,0.0,0.0
28000000,189,0,1,31,0,0.07,0.07,2483,0.8,90.2,63,81.5,0.0,0.0
4000000,177,1,0,20,0,0.0,0.0,6,0.0,90.0,0,0.0,0.0,0.0
56000000,178,0,0,22,1,0.25,0.0,357,0.0,77.0,0,51.6,0.0,0.0
80000000,178,0,1,16,0,0.61,0.09,1027,3.3,82.9,10,41.1,0.0,0.0
14000000,184,1,0,22,0,0.09,0.09,1014,0.4,89.8,14,55.0,0.0,0.0
96000000,176,1,0,28,1,0.32,0.14,2549,0.8000000000000007,81.5,18,48.6,0.0,0.0
72000000,181,0,1,22,1,0.09,0.09,2115,1.0,92.5,22,71.7,0.0,0.0
48000000,186,1,0,24,1,0.07,0.04,2424,1.1,92.6,38,55.6,0.0,0.0
60000000,172,0,1,22,1,0.23,0.23,1182,1.7,90.7,13,87.9,0.0,0.0
112000000,170,1,0,32,1,0.78,0.66,2880,5.800000000000001,79.4,9,66.8,0.0,0.0
9000000,173,1,0,21,0,0.19,0.38,476,0.09999999999999998,80.8,3,45.5,0.0,0.0
20000000,194,0,1,32,0,0.03,0.0,3092,-1.2999999999999998,92.9,22,100.0,0.0,0.0
9000000,169,0,1,19,0,0.0,0.35,510,-0.6,91.0,6,87.5,0.0,0.0
9500000,174,1,0,26,1,0.0,0.0,186,-0.4,86.6,3,45.5,0.0,0.0
10000000,184,0,1,31,1,0.06,0.17,1589,-1.1,89.0,19,47.1,0.0,0.0
40000000,178,0,1,27,0,0.04,0.08,2339,0.19999999999999996,92.1,19,56.0,0.0,0.0
32000000,177,0,1,25,1,0.04,0.09,2097,0.0,89.4,37,66.2,0.0,0.0
28000000,182,0,1,32,1,0.72,0.36,1998,2.0999999999999996,75.9,2,48.1,0.0,0.0
72000000,187,0,1,27,1,0.0,0.06,3240,0.0,88.1,0,0.0,0.727,38.9
9000000,190,0,1,19,1,0.0,0.0,77,0.0,94.3,1,0.0,0.0,0.0
32000000,182,1,0,25,1,0.0,0.0,949,0.0,92.7,9,66.7,0.0,0.0
11000000,180,0,1,32,1,0.43,0.11,1671,3.7,89.1,38,52.9,0.0,0.0
6000000,177,0,1,20,1,0.0,0.0,90,0.0,79.2,5,80.0,0.0,0.0
52000000,180,1,0,27,1,0.04,0.04,2498,0.30000000000000004,90.8,17,60.0,0.0,0.0
48000000,174,0,1,28,1,0.15,0.0,1771,0.5,89.6,38,84.3,0.0,0.0
12000000,190,0,1,30,0,0.0,0.1,1796,-0.4,90.0,13,0.0,0.0,0.0
40000000,180,0,1,23,1,0.24,0.18,1505,-0.20000000000000018,76.7,15,59.4,0.0,0.0
56000000,172,0,1,27,1,0.51,0.38,1411,0.2999999999999998,81.8,25,65.2,0.0,0.0
10000000,181,1,0,19,1,0.29,0.0,307,0.4,81.3,3,61.1,0.0,0.0
2000000,180,0,1,18,0,0.0,0.0,12,0.0,83.3,0,0.0,0.0,0.0
45000000,183,1,0,18,1,0.12,0.2,2234,0.8999999999999999,86.4,49,62.1,0.0,0.0
72000000,176,0,1,24,0,0.49,0.41,2193,-0.6999999999999993,78.3,25,59.8,0.0,0.0
40000000,189,0,1,24,0,0.36,0.3,1512,0.9000000000000004,86.5,21,69.0,0.0,0.0
56000000,182,1,0,23,1,0.0,0.1,920,-0.6,88.3,9,90.9,0.0,0.0
